name,price,code,actual_category
Transponder Ais Maré Magnum,33122.52,1,Eletronicos
Transponder Furuno Marlin,13998.15,2,Eletronicos
Radar Furuno Pulse Leviathan,9024.19,3,Eletronicos
Rádio Ais Hydro Tidal Zen,3381.88,4,Eletronicos
Piloto Automático Furuno Storm,23669.01,5,Eletronicos
Transponder Ais Vector,11820.21,6,Eletronicos
Radar Ais Zen,19518.77,7,Eletronicos
Gps Ais Zen,4984.15,8,Eletronicos
Transponder Ais Titan Pulse,39705.5,9,Eletronicos
Piloto Automático Simrad Titan Flux Magnum,32033.04,10,Eletronicos
Gps Furuno Swift Leviathan Poseidon,36231.91,11,Eletronicos
Gps Ais Drift Flux Vox,2726.18,12,Eletronicos
Radar Simrad Boost,7747.1,13,Eletronicos
Rádio Furuno Zen Swift,35811.08,14,Eletronicos
Radar Garmin Tidal Thrust,27899.76,15,Eletronicos
Sonda Garmin Axis,30005.99,16,Eletronicos
Rádio Ais Oceanic Pulse,14038.78,17,Eletronicos
Rádio Simrad Axis,26572.45,18,Eletronicos
Sonda Lowrance Tidal Storm Vox,16432.35,19,Eletronicos
Radar Ais Marlin,30833.44,20,Eletronicos
Gps Ais Nautic Thrust,8734.56,21,Eletronicos
Transponder Furuno Force Ion,39452.86,22,Eletronicos
Piloto Automático Furuno Torque Peak,11178.63,23,Eletronicos
Gps Ais Orca Marlin Velocity,23232.18,24,Eletronicos
Rádio Lowrance Nitro Thrust Barracuda,12126.46,25,Eletronicos
Piloto Automático Furuno Core Boost Flux,17283.18,26,Eletronicos
Gps Garmin Vortex Maré Drift,16511.45,27,Eletronicos
Piloto Automático Ais Core,14258.56,28,Eletronicos
Rádio Simrad Orca,36510.34,29,Eletronicos
Transponder Ais Boost,32247.87,30,Eletronicos
Transponder Furuno Pulse Axis,8283.11,31,Eletronicos
Sonda Ais Impulse Oceanic Zenith,12502.46,32,Eletronicos
Transponder Garmin Drift Vortex Marlin,6715.77,33,Eletronicos
Transponder Ais Helix Torque,4917.53,34,Eletronicos
Radar Furuno Swift,11005.53,35,Eletronicos
Radar Lowrance Aqua Pulse,22601.39,36,Eletronicos
Gps Lowrance Evo Storm Drift,6067.71,37,Eletronicos
Rádio Ais Force,26461.14,38,Eletronicos
Gps Furuno Vector,29632.83,39,Eletronicos
Sonda Furuno Maré Tidal,14184.04,40,Eletronicos
Gps Simrad Flow Pulse,10600.0,41,Eletronicos
Transponder Lowrance Axis,5992.84,42,Eletronicos
Sonda Ais Barracuda,35096.86,43,Eletronicos
Gps Simrad Zen Hydra Peak,10806.84,44,Eletronicos
Gps Furuno Current,9903.71,45,Eletronicos
Sonda Ais Magnum Boost,4983.77,46,Eletronicos
Rádio Simrad Tidal Aqua,6122.96,47,Eletronicos
Gps Furuno Magnum Drift,14736.35,48,Eletronicos
Sonda Furuno Swift,13264.25,49,Eletronicos
Piloto Automático Simrad Poseidon Magnum,11275.99,50,Eletronicos
Motor Diesel Tohatsu Evo Zenith 16Hp,64158.99,51,Propulsao
Motor Diesel Honda Zen Tidal Mako 26Hp,13704.1,52,Propulsao
Motor Elétrico Torqeedo Zen Titan Hydra 129Hp,53675.01,53,Propulsao
Motor De Popa Yamaha Evo Dash 155Hp,121534.82,54,Propulsao
Motor Diesel Volvo Flow Oceanic 259Hp,109987.2,55,Propulsao
Motor Elétrico Torqeedo Velocity Swift 74Hp,42988.77,56,Propulsao
Motor De Popa Honda Vector Kinetic 174Hp,118790.57,57,Propulsao
Motor De Popa Tohatsu Ion Core Nautic 53Hp,108824.59,58,Propulsao
Motor Diesel Yanmar Hydro Magnum Boost 267Hp,87166.14,59,Propulsao
Motor De Popa Honda Velocity Drift 258Hp,108751.09,60,Propulsao
Motor Diesel Honda Prime 84Hp,28018.63,61,Propulsao
Motor Diesel Yanmar Velocity 37Hp,102221.97,62,Propulsao
Motor Elétrico Torqeedo Ion Orca Vox 186Hp,139957.67,63,Propulsao
Motor Elétrico Yamaha Swift Drift Current 265Hp,111505.55,64,Propulsao
Motor De Popa Torqeedo Nautic Swift 223Hp,25557.7,65,Propulsao
Motor De Popa Tohatsu Poseidon Helix Prime 135Hp,12571.63,66,Propulsao
Motor De Popa Yamaha Mako 108Hp,85789.05,67,Propulsao
Motor De Popa Honda Ion Vox Prime 163Hp,66897.1,68,Propulsao
Motor De Popa Torqeedo Ultra Impulse 292Hp,45265.02,69,Propulsao
Motor Diesel Parsun Boost Helix Velocity 146Hp,34355.43,70,Propulsao
Motor Elétrico Torqeedo Pulse 300Hp,130174.06,71,Propulsao
Motor De Popa Volvo Hydro Dash 256Hp,99664.64,72,Propulsao
