id_client,id_product_recomendado,name,price,actual_category
1,49,Sonda Furuno Swift,13264.25,Eletronicos
1,94,Motor De Popa Volvo Magnum 276Hp,40750.84,Propulsao
1,96,Motor De Popa Tohatsu Boost Swift 126Hp,70620.84,Propulsao
2,67,Motor De Popa Yamaha Mako 108Hp,85789.05,Propulsao
2,73,Motor De Popa Torqeedo Core Hydra Flux 162Hp,143159.93,Propulsao
2,120,Boia De Arqueamento Danforth Flux Tidal,3124.49,Ancoragem
3,76,Motor Diesel Honda Aero 205Hp,148198.23,Propulsao
3,141,Boia De Arqueamento Bruce Nexus Abyss,4781.8,Ancoragem
3,19,Sonda Lowrance Tidal Storm Vox,16432.35,Eletronicos
4,6,Transponder Ais Vector,11820.21,Eletronicos
4,145,Boia De Arqueamento Delta Nexus,4349.86,Ancoragem
4,120,Boia De Arqueamento Danforth Flux Tidal,3124.49,Ancoragem
5,67,Motor De Popa Yamaha Mako 108Hp,85789.05,Propulsao
5,13,Radar Simrad Boost,7747.1,Eletronicos
5,125,Cabo De Nylon Danforth Kinetic,3402.07,Ancoragem
6,40,Sonda Furuno Maré Tidal,14184.04,Eletronicos
6,37,Gps Lowrance Evo Storm Drift,6067.71,Eletronicos
6,80,Motor De Popa Volvo Maré 69Hp,129223.84,Propulsao
7,82,Motor Elétrico Volvo Nautic Vox 118Hp,51634.04,Propulsao
7,78,Motor Elétrico Honda Mako Axis 131Hp,121761.56,Propulsao
7,118,Boia De Arqueamento Delta Force Vox,4315.11,Ancoragem
8,11,Gps Furuno Swift Leviathan Poseidon,36231.91,Eletronicos
8,110,Corrente Bruce Current,2495.51,Ancoragem
8,131,Boia De Arqueamento Danforth Core Vortex,963.59,Ancoragem
9,56,Motor Elétrico Torqeedo Velocity Swift 74Hp,42988.77,Propulsao
9,101,Cabo De Nylon Delta Vortex,463.4,Ancoragem
9,28,Piloto Automático Ais Core,14258.56,Eletronicos
10,118,Boia De Arqueamento Delta Force Vox,4315.11,Ancoragem
10,62,Motor Diesel Yanmar Velocity 37Hp,102221.97,Propulsao
10,60,Motor De Popa Honda Velocity Drift 258Hp,108751.09,Propulsao
11,116,Cabo De Nylon Delta Velocity Oceanic Abyss,2575.52,Ancoragem
11,22,Transponder Furuno Force Ion,39452.86,Eletronicos
11,143,Âncora Delta Hydra Kraken Velocity,4436.43,Ancoragem
12,146,Corrente Delta Vox Ion,495.98,Ancoragem
12,31,Transponder Furuno Pulse Axis,8283.11,Eletronicos
12,43,Sonda Ais Barracuda,35096.86,Eletronicos
13,2,Transponder Furuno Marlin,13998.15,Eletronicos
13,130,Boia De Arqueamento Delta Zen Boost Vortex,4144.09,Ancoragem
13,140,Boia De Arqueamento Bruce Dash Titan Pulse,3134.58,Ancoragem
